date,D,Oth,R,total,D_cum,R_cum,Oth_cum,total_cum
1800-11-29,0,0,0,0,6,3,3,12
1800-11-30,0,0,0,0,6,3,3,12
1800-12-01,0,0,0,0,6,3,3,12
1800-12-02,0,0,0,0,6,3,3,12
1800-12-03,0,0,0,0,6,3,3,12
1800-12-04,0,0,0,0,6,3,3,12
1800-12-05,0,0,0,0,6,3,3,12
1800-12-06,0,0,0,0,6,3,3,12
1800-12-07,0,0,0,0,6,3,3,12
1800-12-08,0,0,0,0,6,3,3,12
1800-12-09,0,0,0,0,6,3,3,12
1800-12-10,0,0,0,0,6,3,3,12
1800-12-11,0,0,0,0,6,3,3,12
1800-12-12,0,0,0,0,6,3,3,12
1800-12-13,0,0,0,0,6,3,3,12
1800-12-14,0,0,0,0,6,3,3,12
1800-12-15,0,0,0,0,6,3,3,12
1800-12-16,0,0,0,0,6,3,3,12
1800-12-17,0,0,0,0,6,3,3,12
1800-12-18,0,0,0,0,6,3,3,12
1800-12-19,0,0,0,0,6,3,3,12
1800-12-20,0,0,0,0,6,3,3,12
1800-12-21,0,0,0,0,6,3,3,12
1800-12-22,0,0,0,0,6,3,3,12
1800-12-23,0,0,0,0,6,3,3,12
1800-12-24,0,0,0,0,6,3,3,12
1800-12-25,0,0,0,0,6,3,3,12
1800-12-26,0,0,0,0,6,3,3,12
1800-12-27,0,0,0,0,6,3,3,12
1800-12-28,0,0,0,0,6,3,3,12
1800-12-29,0,0,0,0,6,3,3,12
1800-12-30,0,0,0,0,6,3,3,12
1800-12-31,0,0,0,0,6,3,3,12
1801-01-01,0,0,0,0,6,3,3,12
1801-01-02,0,0,0,0,6,3,3,12
1801-01-03,0,0,0,0,6,3,3,12
1801-01-04,0,0,0,0,6,3,3,12
1801-01-05,0,0,0,0,6,3,3,12
1801-01-06,0,0,0,0,6,3,3,12
1801-01-07,0,0,0,0,6,3,3,12
1801-01-08,0,0,0,0,6,3,3,12
1801-01-09,0,0,0,0,6,3,3,12
1801-01-10,0,0,0,0,6,3,3,12
1801-01-11,0,0,0,0,6,3,3,12
1801-01-12,0,0,0,0,6,3,3,12
1801-01-13,0,0,0,0,6,3,3,12
1801-01-14,0,0,0,0,6,3,3,12
1801-01-15,0,0,0,0,6,3,3,12
1801-01-16,0,0,0,0,6,3,3,12
1801-01-17,0,0,0,0,6,3,3,12
1801-01-18,0,0,0,0,6,3,3,12
1801-01-19,0,0,0,0,6,3,3,12
1801-01-20,0,0,0,0,6,3,3,12
1801-01-21,0,0,0,0,6,3,3,12
1801-01-22,0,0,0,0,6,3,3,12
1801-01-23,0,0,0,0,6,3,3,12
1801-01-24,0,0,0,0,6,3,3,12
1801-01-25,0,0,0,0,6,3,3,12
1801-01-26,0,0,0,0,6,3,3,12
1801-01-27,0,0,0,0,6,3,3,12
1801-01-28,0,0,0,0,6,3,3,12
1801-01-29,0,0,0,0,6,3,3,12
1801-01-30,0,0,0,0,6,3,3,12
1801-01-31,0,0,0,0,6,3,3,12
1801-02-01,0,0,0,0,6,3,3,12
1801-02-02,0,0,0,0,6,3,3,12
1801-02-03,0,0,0,0,6,3,3,12
1801-02-04,0,0,0,0,6,3,3,12
1801-02-05,0,0,0,0,6,3,3,12
1801-02-06,0,0,0,0,6,3,3,12
1801-02-07,0,0,0,0,6,3,3,12
1801-02-08,0,0,0,0,6,3,3,12
1801-02-09,0,0,0,0,6,3,3,12
1801-02-10,0,0,0,0,6,3,3,12
1801-02-11,0,0,0,0,6,3,3,12
1801-02-12,0,0,0,0,6,3,3,12
1801-02-13,0,0,0,0,6,3,3,12
1801-02-14,0,0,0,0,6,3,3,12
1801-02-15,0,0,0,0,6,3,3,12
1801-02-16,0,0,0,0,6,3,3,12
1801-02-17,0,0,0,0,6,3,3,12
1801-02-18,0,0,0,0,6,3,3,12
1801-02-19,0,0,0,0,6,3,3,12
1801-02-20,0,0,0,0,6,3,3,12
1801-02-21,0,0,0,0,6,3,3,12
1801-02-22,0,0,0,0,6,3,3,12
1801-02-23,0,0,0,0,6,3,3,12
1801-02-24,0,0,0,0,6,3,3,12
1801-02-25,0,0,0,0,6,3,3,12
1801-02-26,0,0,0,0,6,3,3,12
1801-02-27,0,0,0,0,6,3,3,12
1801-02-28,0,0,0,0,6,3,3,12
1801-03-01,0,0,0,0,6,3,3,12
1801-03-02,0,0,0,0,6,3,3,12
1801-03-03,0,0,0,0,6,3,3,12
1801-03-04,0,0,0,0,6,3,3,12
1801-03-05,0,0,0,0,6,3,3,12
1801-03-06,0,0,0,0,6,3,3,12
1801-03-07,0,0,0,0,6,3,3,12
1801-03-08,0,0,0,0,6,3,3,12
1801-03-09,0,0,0,0,6,3,3,12
1801-03-10,0,0,0,0,6,3,3,12
1801-03-11,0,0,0,0,6,3,3,12
1801-03-12,0,0,0,0,6,3,3,12
1801-03-13,0,0,0,0,6,3,3,12
1801-03-14,0,0,0,0,6,3,3,12
1801-03-15,0,0,0,0,6,3,3,12
1801-03-16,0,0,0,0,6,3,3,12
1801-03-17,0,0,0,0,6,3,3,12
1801-03-18,0,0,0,0,6,3,3,12
1801-03-19,0,0,0,0,6,3,3,12
1801-03-20,0,0,0,0,6,3,3,12
1801-03-21,0,0,0,0,6,3,3,12
1801-03-22,0,0,0,0,6,3,3,12
1801-03-23,0,0,0,0,6,3,3,12
1801-03-24,0,0,0,0,6,3,3,12
1801-03-25,0,0,0,0,6,3,3,12
1801-03-26,0,0,0,0,6,3,3,12
1801-03-27,0,0,0,0,6,3,3,12
1801-03-28,0,0,0,0,6,3,3,12
1801-03-29,0,0,0,0,6,3,3,12
1801-03-30,0,0,0,0,6,3,3,12
1801-03-31,0,0,0,0,6,3,3,12
1801-04-01,0,0,0,0,6,3,3,12
1801-04-02,0,0,0,0,6,3,3,12
1801-04-03,0,0,0,0,6,3,3,12
1801-04-04,0,0,0,0,6,3,3,12
1801-04-05,0,0,0,0,6,3,3,12
1801-04-06,0,0,0,0,6,3,3,12
1801-04-07,0,0,0,0,6,3,3,12
1801-04-08,0,0,0,0,6,3,3,12
1801-04-09,0,0,0,0,6,3,3,12
1801-04-10,0,0,0,0,6,3,3,12
1801-04-11,0,0,0,0,6,3,3,12
1801-04-12,0,0,0,0,6,3,3,12
1801-04-13,0,0,0,0,6,3,3,12
1801-04-14,0,0,0,0,6,3,3,12
1801-04-15,0,0,0,0,6,3,3,12
1801-04-16,0,0,0,0,6,3,3,12
1801-04-17,0,0,0,0,6,3,3,12
1801-04-18,0,0,0,0,6,3,3,12
1801-04-19,0,0,0,0,6,3,3,12
1801-04-20,0,0,0,0,6,3,3,12
1801-04-21,0,0,0,0,6,3,3,12
1801-04-22,0,0,0,0,6,3,3,12
1801-04-23,0,0,0,0,6,3,3,12
1801-04-24,0,0,0,0,6,3,3,12
1801-04-25,0,0,0,0,6,3,3,12
1801-04-26,0,0,0,0,6,3,3,12
1801-04-27,0,0,0,0,6,3,3,12
1801-04-28,0,0,0,0,6,3,3,12
1801-04-29,0,0,0,0,6,3,3,12
1801-04-30,0,0,0,0,6,3,3,12
1801-05-01,0,0,0,0,6,3,3,12
1801-05-02,0,0,0,0,6,3,3,12
1801-05-03,0,0,0,0,6,3,3,12
1801-05-04,0,0,0,0,6,3,3,12
1801-05-05,0,0,0,0,6,3,3,12
1801-05-06,0,0,0,0,6,3,3,12
1801-05-07,0,0,0,0,6,3,3,12
1801-05-08,0,0,0,0,6,3,3,12
1801-05-09,0,0,0,0,6,3,3,12
1801-05-10,0,0,0,0,6,3,3,12
1801-05-11,0,0,0,0,6,3,3,12
1801-05-12,0,0,0,0,6,3,3,12
1801-05-13,0,0,0,0,6,3,3,12
1801-05-14,0,0,0,0,6,3,3,12
1801-05-15,0,0,0,0,6,3,3,12
1801-05-16,0,0,0,0,6,3,3,12
1801-05-17,0,0,0,0,6,3,3,12
1801-05-18,0,0,0,0,6,3,3,12
1801-05-19,0,0,0,0,6,3,3,12
1801-05-20,0,0,0,0,6,3,3,12
1801-05-21,0,0,0,0,6,3,3,12
1801-05-22,0,0,0,0,6,3,3,12
1801-05-23,0,0,0,0,6,3,3,12
1801-05-24,0,0,0,0,6,3,3,12
1801-05-25,0,0,0,0,6,3,3,12
1801-05-26,0,0,0,0,6,3,3,12
1801-05-27,0,0,0,0,6,3,3,12
1801-05-28,0,0,0,0,6,3,3,12
1801-05-29,0,0,0,0,6,3,3,12
1801-05-30,0,0,0,0,6,3,3,12
1801-05-31,0,0,0,0,6,3,3,12
1801-06-01,0,0,0,0,6,3,3,12
1801-06-02,0,0,0,0,6,3,3,12
1801-06-03,0,0,0,0,6,3,3,12
1801-06-04,0,0,0,0,6,3,3,12
1801-06-05,0,0,0,0,6,3,3,12
1801-06-06,0,0,0,0,6,3,3,12
1801-06-07,0,0,0,0,6,3,3,12
1801-06-08,0,0,0,0,6,3,3,12
1801-06-09,0,0,0,0,6,3,3,12
1801-06-10,0,0,0,0,6,3,3,12
1801-06-11,0,0,0,0,6,3,3,12
1801-06-12,0,0,0,0,6,3,3,12
1801-06-13,0,0,0,0,6,3,3,12
1801-06-14,0,0,0,0,6,3,3,12
1801-06-15,0,0,0,0,6,3,3,12
1801-06-16,0,0,0,0,6,3,3,12
1801-06-17,0,0,0,0,6,3,3,12
1801-06-18,0,0,0,0,6,3,3,12
1801-06-19,0,0,0,0,6,3,3,12
