polling_place_key,voters,voters_with_any_eligible_election,eligible_elections,voted_elections,eligible_primaries,voted_primaries,eligible_generals,voted_generals,eligible_midterm_primaries,voted_midterm_primaries,avg_eligible_elections_per_voter,avg_voted_elections_per_voter,avg_participation_pct_per_voter,participation_pct,primary_participation_pct,general_participation_pct,midterm_primary_participation_pct,registered_current_year_D,registered_current_year_Oth,registered_current_year_R,registered_current_year_total,registration_year,polling_place,full_address,post_office,precinct_codes,precinct_split_ids,municipality_districts
Joseph E. Hanusey III Community Center | 4757 Gordon Rd Doylestown PA 18902 | Doylestown,2748,2718,29612,12996,14618,3745,14994,9251,2392,742,10.78,4.73,42.66,43.89,25.62,61.7,31.02,7,8,8,23,2026,Joseph E. Hanusey III Community Center,4757 Gordon Rd Doylestown PA 18902,Doylestown,34040,34040-1,Plumstead Twp. District 4
Joseph Ferderbar Elementary School | 300 Heights Ln Feasterville-Trevose PA 19053 | Feasterville,1881,1861,20065,7840,9906,2234,10159,5606,1617,442,10.67,4.17,37.33,39.07,22.55,55.18,27.33,4,7,5,16,2026,Joseph Ferderbar Elementary School,300 Heights Ln Feasterville-Trevose PA 19053,Feasterville,21024; 21025,21024-1; 21025-1,Lower Southampton Twp. West 4; Lower Southampton Twp. West 5
Keystone Elementary School | 1800 Keystone Street Croydon PA 19021 | Croydon,2280,2255,24334,8131,12016,2273,12318,5858,1967,465,10.67,3.57,32.44,33.41,18.92,47.56,23.64,12,5,2,19,2026,Keystone Elementary School,1800 Keystone Street Croydon PA 19021,Croydon,05012; 05013,05012-1; 05013-1,Bristol Twp. 1 - 2; Bristol Twp. 1 - 3
Kings Library Church of the Redeemer | 1065 Bristol Pike Bensalem PA 19020 | Bensalem,1482,1460,16172,6130,8007,1846,8165,4284,1317,366,10.91,4.14,36.5,37.91,23.05,52.47,27.79,5,7,3,15,2026,Kings Library Church of the Redeemer,1065 Bristol Pike Bensalem PA 19020,Bensalem,02040,02040-1,Bensalem Twp. Upper West
Klinger Middle School | 1415 2nd Street Pike Southampton PA 18966 | Southampton,1031,1021,11633,5218,5777,1535,5856,3683,957,347,11.28,5.06,43.76,44.86,26.57,62.89,36.26,2,0,3,5,2026,Klinger Middle School,1415 2nd Street Pike Southampton PA 18966,Southampton,48022,48022-1,Upper Southampton Twp. North 2
Langhorne Manor Municipal Building | 618 Hulmeville Ave Langhorne PA 19047 | Langhorne,776,767,8461,4336,4189,1460,4272,2876,690,280,10.9,5.59,49.39,51.25,34.85,67.32,40.58,4,2,1,7,2026,Langhorne Manor Municipal Building,618 Hulmeville Ave Langhorne PA 19047,Langhorne,19000,19000-1,Langhorne Manor Boro
Lenape Valley Presbyterian Church | 321 W Butler Ave New Britain PA 18901 | New Britain,1929,1901,21127,9948,10461,3058,10666,6890,1719,610,10.95,5.16,46.01,47.09,29.23,64.6,35.49,5,8,4,17,2026,Lenape Valley Presbyterian Church,321 W Butler Ave New Britain PA 18901,New Britain,25000,25000-1,New Britain Borough
Log College Middle School | 730 N Norristown Rd Warminster PA 18974 | Warminster,2399,2385,26400,12343,13071,3978,13329,8365,2146,766,11.0,5.15,45.29,46.75,30.43,62.76,35.69,4,1,2,7,2026,Log College Middle School,730 N Norristown Rd Warminster PA 18974,Warminster,49090; 49150,49090-1; 49150-1,Warminster Twp. District 15; Warminster Twp. District 9
Lower Makefield Township Building | 1100 Edgewood Rd Yardley PA 19067 | Yardley,1674,1659,18356,9231,9083,2774,9273,6457,1492,571,10.97,5.51,49.25,50.29,30.54,69.63,38.27,9,2,0,11,2026,Lower Makefield Township Building,1100 Edgewood Rd Yardley PA 19067,Yardley,20014,20014-1,Lower Makefield Twp. North 4
Lower Southampton Early Learning Center | 7 School Ln Feasterville Trevose PA 19053 | Feasterville,1603,1584,17239,7401,8516,2182,8723,5219,1400,435,10.75,4.62,41.41,42.93,25.62,59.83,31.07,6,3,3,12,2026,Lower Southampton Early Learning Center,7 School Ln Feasterville Trevose PA 19053,Feasterville,21011,21011-1,Lower Southampton Twp. East 1
Makefield Elementary School | 1939 Makefield Rd Yardley PA 19067 | Yardley,2995,2953,32005,15386,15802,4676,16203,10710,2569,960,10.69,5.14,46.89,48.07,29.59,66.1,37.37,12,13,5,30,2026,Makefield Elementary School,1939 Makefield Rd Yardley PA 19067,Yardley,20021; 20023,20021-1; 20023-1,Lower Makefield Twp. South 1; Lower Makefield Twp. South 3
