polling_place_key,D_registered,Oth_registered,R_registered,D_voted,Oth_voted,R_voted,D_turnout_pct,R_turnout_pct,Oth_turnout_pct,registered_total,voted_total,turnout_pct,polling_place,full_address,post_office,precinct_codes,precinct_split_ids,municipality_districts
Bucks County Community College - Lower Bucks | 1304 Veterans Hwy Bristol PA 19007 | Bristol,2260,799,1280,949,133,414,41.99,32.34,16.65,4339,1496,34.48,Bucks County Community College - Lower Bucks,1304 Veterans Hwy Bristol PA 19007,Bristol,05033; 05041; 05042,05033-1; 05041-1; 05042-1,Bristol Twp. 3 - 3; Bristol Twp. 4 - 1; Bristol Twp. 4 - 2
Bucks County Community College - Lower Bucks | 1304 Veterans Hwy Bristol PA 19007 | Briston,477,199,409,187,25,122,39.2,29.83,12.56,1085,334,30.78,Bucks County Community College - Lower Bucks,1304 Veterans Hwy Bristol PA 19007,Briston,05043,05043-1,Bristol Twp. 4 - 3
Bucks County Community College - Upper Bucks | 1 Hillendale Rd Perkasie PA 18944 | Perkasie,1334,823,2359,799,262,1233,59.9,52.27,31.83,4516,2294,50.8,Bucks County Community College - Upper Bucks,1 Hillendale Rd Perkasie PA 18944,Perkasie,12010; 12020,12010-1; 12020-1,East Rockhill Twp. District 1; East Rockhill Twp. District 2
Bucks County Free Library Bensalem Branch | 3700 Hulmeville Rd Bensalem PA 19020 | Bensalem,1198,529,764,368,94,269,30.72,35.21,17.77,2491,731,29.35,Bucks County Free Library Bensalem Branch,3700 Hulmeville Rd Bensalem PA 19020,Bensalem,02024; 02025,02024-1; 02025-1,Bensalem Twp. Lower Middle 4; Bensalem Twp. Lower Middle 5
Bucks County Free Library | 7311 New Falls Rd Levittown PA 19055 | Levittown,448,192,335,189,35,123,42.19,36.72,18.23,975,347,35.59,Bucks County Free Library,7311 New Falls Rd Levittown PA 19055,Levittown,05061,05061-1,Bristol Twp. 6 - 1
Bucks County Government Services Center | 7321 New Falls Rd Levittown PA 19055 | Levittown,811,325,623,370,47,244,45.62,39.17,14.46,1759,661,37.58,Bucks County Government Services Center,7321 New Falls Rd Levittown PA 19055,Levittown,05082,05082-1,Bristol Twp. 8 - 2
Bucks County Public Safety Training Center | 1760 S. Easton Road Doylestown PA 18901 | Doylestown,1090,519,1119,752,209,650,68.99,58.09,40.27,2728,1611,59.05,Bucks County Public Safety Training Center,1760 S. Easton Road Doylestown PA 18901,Doylestown,09030; 09040,09030-1; 09040-1,Doylestown Twp. District 3; Doylestown Twp. District 4
Bucks IU22 @ Samuel Everitt Elementary School | 145 Forsythia Dr S Levittown PA 19056 | Levittown,1207,408,1158,733,144,642,60.73,55.44,35.29,2773,1519,54.78,Bucks IU22 @ Samuel Everitt Elementary School,145 Forsythia Dr S Levittown PA 19056,Levittown,22050; 22100; 22120,22050-1; 22100-1; 22120-1,Middletown Twp. Lower 10; Middletown Twp. Lower 12; Middletown Twp. Lower 5
"Calvary Church of Souderton | 820 Pa-113, Souderton, PA 18964 | Souderton",749,363,947,403,108,488,53.81,51.53,29.75,2059,999,48.52,Calvary Church of Souderton,"820 Pa-113, Souderton, PA 18964",Souderton,15021,15021-1,Hilltown Twp. Fairhill 1
Cecelia Snyder Middle School | 3330 Hulmeville Rd Bensalem PA 19020 | Bensalem,1533,565,1134,669,133,589,43.64,51.94,23.54,3232,1391,43.04,Cecelia Snyder Middle School,3330 Hulmeville Rd Bensalem PA 19020,Bensalem,02014; 02061,02014-1; 02061-1,Bensalem Twp. Lower East 4; Bensalem Twp. Upper 11
Central Bucks Community Senior Center Large Room | 700 N Shady Retreat Rd Doylestown PA 18901 | Doylestown,2142,983,1897,1371,350,1017,64.01,53.61,35.61,5022,2738,54.52,Central Bucks Community Senior Center Large Room,700 N Shady Retreat Rd Doylestown PA 18901,Doylestown,09050; 09060,09050-1; 09060-1,Doylestown Twp. District 5; Doylestown Twp. District 6
Central Bucks High School East | 2804 Holicong Rd Doylestown PA 18902 | Doylestown,928,547,1096,612,224,664,65.95,60.58,40.95,2571,1500,58.34,Central Bucks High School East,2804 Holicong Rd Doylestown PA 18902,Doylestown,06032,06032-1,Buckingham Twp. Upper 2
