OFFICIAL ELECTION RESULTS
Bucks
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"Lower Southampton Twp West #1","JUDGE OF THE COMMONWEALTH COURT (Dem)","STELLA TSAI","74","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COMMONWEALTH COURT (Dem)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COMMONWEALTH COURT (Rep)","MATT WOLFORD","32","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COMMONWEALTH COURT (Rep)","JOSH PRINCE","26","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COMMONWEALTH COURT (Rep)","Write-in","1","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","LINDA BOBRIN","68","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","AMY FITZPATRICK","68","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","TIFFANY THOMAS-SMITH","63","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","DAWN DIDONATO BURKE","59","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","GRACE DEON","23","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","JOSEPH PIZZO","20","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","CHELSEY CROCKER JACKMAN","10","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","GARY GAMBARDELLA","3","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","GRACE DEON","49","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","JOSEPH PIZZO","48","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","CHELSEY CROCKER JACKMAN","44","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","COLIN MONAHAN","33","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","AMY FITZPATRICK","20","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","GARY GAMBARDELLA","19","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","LINDA BOBRIN","12","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","DAWN DIDONATO BURKE","11","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","DISTRICT ATTORNEY (Dem)","JOE KHAN","72","24.41%"
"Lower Southampton Twp West #1","DISTRICT ATTORNEY (Dem)","Write-in","1","24.41%"
"Lower Southampton Twp West #1","DISTRICT ATTORNEY (Rep)","JENNIFER SCHORN","56","24.41%"
"Lower Southampton Twp West #1","DISTRICT ATTORNEY (Rep)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","SHERIFF (Dem)","DANIEL LEO CEISLER","80","24.41%"
"Lower Southampton Twp West #1","SHERIFF (Dem)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","SHERIFF (Rep)","FRED HARRAN","59","24.41%"
"Lower Southampton Twp West #1","SHERIFF (Rep)","Write-in","1","24.41%"
"Lower Southampton Twp West #1","PROTHONOTARY (Dem)","DONNA PETRECCO","79","24.41%"
"Lower Southampton Twp West #1","PROTHONOTARY (Dem)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","PROTHONOTARY (Rep)","COLEEN CHRISTIAN","60","24.41%"
"Lower Southampton Twp West #1","PROTHONOTARY (Rep)","Write-in","1","24.41%"
"Lower Southampton Twp West #1","RECORDER OF DEEDS (Dem)","ROBIN ROBINSON","80","24.41%"
"Lower Southampton Twp West #1","RECORDER OF DEEDS (Dem)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","RECORDER OF DEEDS (Rep)","DAN MCPHILLIPS","59","24.41%"
"Lower Southampton Twp West #1","RECORDER OF DEEDS (Rep)","Write-in","1","24.41%"
"Lower Southampton Twp West #1","COUNTY CONTROLLER (Dem)","NEALE DOUGHERTY","80","24.41%"
"Lower Southampton Twp West #1","COUNTY CONTROLLER (Dem)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","COUNTY CONTROLLER (Rep)","PAMELA VAN BLUNK","60","24.41%"
"Lower Southampton Twp West #1","COUNTY CONTROLLER (Rep)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","MAGISTERIAL DISTRICT JUDGE 07-1-07 (Dem)","DANIEL BARANOSKI","78","24.41%"
"Lower Southampton Twp West #1","MAGISTERIAL DISTRICT JUDGE 07-1-07 (Dem)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","MAGISTERIAL DISTRICT JUDGE 07-1-07- R (Rep)","DANIEL BARANOSKI","57","24.41%"
"Lower Southampton Twp West #1","MAGISTERIAL DISTRICT JUDGE 07-1-07- R (Rep)","Write-in","1","24.41%"
"Lower Southampton Twp West #1","NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR (Dem)","BRIAN SUCEVIC","42","24.41%"
"Lower Southampton Twp West #1","NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR (Dem)","ERIN BROSIOUS","37","24.41%"
"Lower Southampton Twp West #1","NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR (Dem)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR  (Rep)","ERIN BROSIOUS","56","24.41%"
"Lower Southampton Twp West #1","NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR  (Rep)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","JANE SOBIESKI","73","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","ANTHONY GIANNONE","49","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Rep)","CYNDIE BOWMAN","48","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Rep)","NICK BORDNER","45","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Rep)","Write-in","1","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Rep)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP TAX COLLECTOR - 4 YEAR (Dem)","Write-in","15","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP TAX COLLECTOR - 4 YEAR (Rep)","DEBORAH L. DONEKER","60","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP TAX COLLECTOR - 4 YEAR (Rep)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP AUDITOR - 6 YEAR (Dem)","JENNIFER ESPOSITO","72","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP AUDITOR - 6 YEAR (Dem)","Write-in","1","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP AUDITOR - 6 YEAR (Rep)","TARA M. KOLARIS","58","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP AUDITOR - 6 YEAR (Rep)","Write-in","0","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP WEST 1 JUDGE OF ELECTIONS (Dem)","Write-in","3","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP WEST 1 JUDGE OF ELECTIONS (Rep)","HELEN LORANDEAU","50","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP WEST 1 JUDGE OF ELECTIONS (Rep)","Write-in","5","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP WEST 1 INSPECTOR OF ELECTIONS (Dem)","Write-in","3","24.41%"
"Lower Southampton Twp West #1","LOWER SOUTHAMPTON TOWNSHIP WEST 1 INSPECTOR OF ELECTIONS (Rep)","Write-in","21","24.41%"
"Lower Southampton Twp West #2","JUDGE OF THE SUPERIOR COURT (Dem)","BRANDON NEUMAN","68","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE SUPERIOR COURT (Dem)","Write-in","1","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE SUPERIOR COURT (Rep)","ANN MARIE WHEATCRAFT","76","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE SUPERIOR COURT (Rep)","MARIA BATTISTA","23","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE SUPERIOR COURT (Rep)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COMMONWEALTH COURT (Dem)","STELLA TSAI","67","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COMMONWEALTH COURT (Dem)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COMMONWEALTH COURT (Rep)","MATT WOLFORD","78","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COMMONWEALTH COURT (Rep)","JOSH PRINCE","20","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COMMONWEALTH COURT (Rep)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","LINDA BOBRIN","60","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","AMY FITZPATRICK","57","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","DAWN DIDONATO BURKE","55","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","TIFFANY THOMAS-SMITH","51","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","JOSEPH PIZZO","15","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","GRACE DEON","13","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","CHELSEY CROCKER JACKMAN","8","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","GARY GAMBARDELLA","5","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","1","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","GRACE DEON","89","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","CHELSEY CROCKER JACKMAN","85","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","JOSEPH PIZZO","83","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","COLIN MONAHAN","73","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","GARY GAMBARDELLA","17","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","AMY FITZPATRICK","12","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","DAWN DIDONATO BURKE","10","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","LINDA BOBRIN","6","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","DISTRICT ATTORNEY (Dem)","JOE KHAN","65","24.06%"
"Lower Southampton Twp West #2","DISTRICT ATTORNEY (Dem)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","DISTRICT ATTORNEY (Rep)","JENNIFER SCHORN","92","24.06%"
"Lower Southampton Twp West #2","DISTRICT ATTORNEY (Rep)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","SHERIFF (Dem)","DANIEL LEO CEISLER","68","24.06%"
"Lower Southampton Twp West #2","SHERIFF (Dem)","Write-in","1","24.06%"
"Lower Southampton Twp West #2","SHERIFF (Rep)","FRED HARRAN","99","24.06%"
"Lower Southampton Twp West #2","SHERIFF (Rep)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","PROTHONOTARY (Dem)","DONNA PETRECCO","68","24.06%"
"Lower Southampton Twp West #2","PROTHONOTARY (Dem)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","PROTHONOTARY (Rep)","COLEEN CHRISTIAN","97","24.06%"
"Lower Southampton Twp West #2","PROTHONOTARY (Rep)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","RECORDER OF DEEDS (Dem)","ROBIN ROBINSON","68","24.06%"
"Lower Southampton Twp West #2","RECORDER OF DEEDS (Dem)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","RECORDER OF DEEDS (Rep)","DAN MCPHILLIPS","101","24.06%"
"Lower Southampton Twp West #2","RECORDER OF DEEDS (Rep)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","COUNTY CONTROLLER (Dem)","NEALE DOUGHERTY","68","24.06%"
"Lower Southampton Twp West #2","COUNTY CONTROLLER (Dem)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","COUNTY CONTROLLER (Rep)","PAMELA VAN BLUNK","98","24.06%"
"Lower Southampton Twp West #2","COUNTY CONTROLLER (Rep)","Write-in","1","24.06%"
"Lower Southampton Twp West #2","MAGISTERIAL DISTRICT JUDGE 07-1-07 (Dem)","DANIEL BARANOSKI","69","24.06%"
"Lower Southampton Twp West #2","MAGISTERIAL DISTRICT JUDGE 07-1-07 (Dem)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","MAGISTERIAL DISTRICT JUDGE 07-1-07- R (Rep)","DANIEL BARANOSKI","97","24.06%"
"Lower Southampton Twp West #2","MAGISTERIAL DISTRICT JUDGE 07-1-07- R (Rep)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR (Dem)","BRIAN SUCEVIC","49","24.06%"
"Lower Southampton Twp West #2","NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR (Dem)","ERIN BROSIOUS","20","24.06%"
"Lower Southampton Twp West #2","NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR (Dem)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR  (Rep)","ERIN BROSIOUS","99","24.06%"
"Lower Southampton Twp West #2","NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR  (Rep)","Write-in","2","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","JANE SOBIESKI","67","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","ANTHONY GIANNONE","45","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Rep)","NICK BORDNER","92","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Rep)","CYNDIE BOWMAN","68","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Rep)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Rep)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP TAX COLLECTOR - 4 YEAR (Dem)","Write-in","3","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP TAX COLLECTOR - 4 YEAR (Rep)","DEBORAH L. DONEKER","103","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP TAX COLLECTOR - 4 YEAR (Rep)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP AUDITOR - 6 YEAR (Dem)","JENNIFER ESPOSITO","67","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP AUDITOR - 6 YEAR (Dem)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP AUDITOR - 6 YEAR (Rep)","TARA M. KOLARIS","97","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP AUDITOR - 6 YEAR (Rep)","Write-in","0","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP WEST 2 JUDGE OF ELECTIONS (Dem)","Write-in","3","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP WEST 2 JUDGE OF ELECTIONS (Rep)","Write-in","20","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP WEST 2 INSPECTOR OF ELECTIONS (Dem)","Write-in","4","24.06%"
"Lower Southampton Twp West #2","LOWER SOUTHAMPTON TOWNSHIP WEST 2 INSPECTOR OF ELECTIONS (Rep)","Write-in","13","24.06%"
"Lower Southampton Twp West #3","JUDGE OF THE SUPERIOR COURT (Dem)","BRANDON NEUMAN","100","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE SUPERIOR COURT (Dem)","Write-in","1","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE SUPERIOR COURT (Rep)","ANN MARIE WHEATCRAFT","58","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE SUPERIOR COURT (Rep)","MARIA BATTISTA","28","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE SUPERIOR COURT (Rep)","Write-in","0","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COMMONWEALTH COURT (Dem)","STELLA TSAI","100","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COMMONWEALTH COURT (Dem)","Write-in","1","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COMMONWEALTH COURT (Rep)","MATT WOLFORD","60","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COMMONWEALTH COURT (Rep)","JOSH PRINCE","25","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COMMONWEALTH COURT (Rep)","Write-in","0","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","LINDA BOBRIN","87","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","AMY FITZPATRICK","78","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","DAWN DIDONATO BURKE","65","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","TIFFANY THOMAS-SMITH","65","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","JOSEPH PIZZO","39","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","GRACE DEON","24","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","CHELSEY CROCKER JACKMAN","15","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","GARY GAMBARDELLA","9","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","1","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","GRACE DEON","74","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","JOSEPH PIZZO","71","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","CHELSEY CROCKER JACKMAN","64","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","COLIN MONAHAN","51","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","AMY FITZPATRICK","18","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","GARY GAMBARDELLA","17","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","LINDA BOBRIN","17","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","DAWN DIDONATO BURKE","8","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","18.81%"
"Lower Southampton Twp West #3","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","18.81%"
"Lower Southampton Twp West #3","DISTRICT ATTORNEY (Dem)","JOE KHAN","93","18.81%"
"Lower Southampton Twp West #3","DISTRICT ATTORNEY (Dem)","Write-in","1","18.81%"
"Lower Southampton Twp West #3","DISTRICT ATTORNEY (Rep)","JENNIFER SCHORN","78","18.81%"
"Lower Southampton Twp West #3","DISTRICT ATTORNEY (Rep)","Write-in","0","18.81%"
"Lower Southampton Twp West #3","SHERIFF (Dem)","DANIEL LEO CEISLER","98","18.81%"
"Lower Southampton Twp West #3","SHERIFF (Dem)","Write-in","1","18.81%"
"Lower Southampton Twp West #3","SHERIFF (Rep)","FRED HARRAN","85","18.81%"
"Lower Southampton Twp West #3","SHERIFF (Rep)","Write-in","1","18.81%"
"Lower Southampton Twp West #3","PROTHONOTARY (Dem)","DONNA PETRECCO","99","18.81%"
"Lower Southampton Twp West #3","PROTHONOTARY (Dem)","Write-in","1","18.81%"
"Lower Southampton Twp West #3","PROTHONOTARY (Rep)","COLEEN CHRISTIAN","82","18.81%"
"Lower Southampton Twp West #3","PROTHONOTARY (Rep)","Write-in","0","18.81%"
"Lower Southampton Twp West #3","RECORDER OF DEEDS (Dem)","ROBIN ROBINSON","101","18.81%"
"Lower Southampton Twp West #3","RECORDER OF DEEDS (Dem)","Write-in","1","18.81%"
"Lower Southampton Twp West #3","RECORDER OF DEEDS (Rep)","DAN MCPHILLIPS","83","18.81%"
"Lower Southampton Twp West #3","RECORDER OF DEEDS (Rep)","Write-in","0","18.81%"
"Lower Southampton Twp West #3","COUNTY CONTROLLER (Dem)","NEALE DOUGHERTY","100","18.81%"
"Lower Southampton Twp West #3","COUNTY CONTROLLER (Dem)","Write-in","1","18.81%"
"Lower Southampton Twp West #3","COUNTY CONTROLLER (Rep)","PAMELA VAN BLUNK","82","18.81%"
"Lower Southampton Twp West #3","COUNTY CONTROLLER (Rep)","Write-in","0","18.81%"
"Lower Southampton Twp West #3","MAGISTERIAL DISTRICT JUDGE 07-1-07 (Dem)","DANIEL BARANOSKI","101","18.81%"
"Lower Southampton Twp West #3","MAGISTERIAL DISTRICT JUDGE 07-1-07 (Dem)","Write-in","1","18.81%"
"Lower Southampton Twp West #3","MAGISTERIAL DISTRICT JUDGE 07-1-07- R (Rep)","DANIEL BARANOSKI","80","18.81%"
"Lower Southampton Twp West #3","MAGISTERIAL DISTRICT JUDGE 07-1-07- R (Rep)","Write-in","2","18.81%"
"Lower Southampton Twp West #3","NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR (Dem)","BRIAN SUCEVIC","62","18.81%"
"Lower Southampton Twp West #3","NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR (Dem)","ERIN BROSIOUS","38","18.81%"
"Lower Southampton Twp West #3","NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR (Dem)","Write-in","1","18.81%"
"Lower Southampton Twp West #3","NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR  (Rep)","ERIN BROSIOUS","83","18.81%"
"Lower Southampton Twp West #3","NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR  (Rep)","Write-in","1","18.81%"
"Lower Southampton Twp West #3","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","JANE SOBIESKI","92","18.81%"
"Lower Southampton Twp West #3","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","ANTHONY GIANNONE","66","18.81%"
"Lower Southampton Twp West #3","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","Write-in","3","18.81%"
"Lower Southampton Twp West #3","LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","Write-in","0","18.81%"
